title,y,upload_date,view_count,tempo_desde_pub
Kaggle Mini Courses - Intro to AI Ethics,0,22/04/2021,88,132
Kaggle Mini Courses - Intro to Deep Learning,0,04/11/2020,259,301
Kaggle Mini Courses - Intro to Game AI and Reinforcement Learning,0,25/01/2021,215,219
Kaggle Mini Courses - Intro to Machine Learning,0,08/10/2020,907,328
Kaggle Mini Courses - Intro to SQL,0,11/11/2020,257,294
Kaggle Mini Courses - Machine Learning Explainability,0,02/12/2020,309,273
Kaggle Mini Courses - Pandas,0,28/10/2020,381,308
Kaggle Mini Courses - Petals to the MetalðŸŒ»ðŸŒ¸ðŸŒ¹ + Cassava Leaf Classification,0,08/01/2021,337,236
Kaggle Mini Courses - Python,0,30/09/2020,904,336
Kaggle Ø§Ù„Ø­ØµØ© Ø§Ù„Ø³Ø§Ø¨Ø¹Ø©: ØªØ·Ø¨ÙŠÙ‚ Ø§Ù„ØªØ¹Ù„Ù… Ø§Ù„Ø§Ù„ÙŠ ÙÙŠ,0,27/06/2020,3163,431
Kaggle Predicting Molecular Properties â€” Andrew Lukyanenko,0,19/09/2019,2008,713
Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),0,08/01/2021,12376,236
Kaggle Project: Identify the category of Foliar Diseases in Apple Trees ! (1/2):- Train and Test,0,06/02/2021,3277,207
Kaggle Project: Identify the category of Foliar Diseases in Apple Trees ! (2/2):- Web Deployment.,0,07/02/2021,1339,206
Kaggle Python Strings and Dictionaries TapÅŸÄ±rÄ±q 0 | AzÉ™rbaycan dilindÉ™,0,28/08/2021,5,4
Kaggle Reading Group: Learning from Dialogue after Deployment (Part 2) | Kaggle,0,06/11/2019,1523,665
Kaggle Severstal Steel Defect Detection Conference Publication for Turbo Expo 2021,0,14/04/2021,84,140
"Kaggle Severstal: Steel Defect Detection Ã¢â‚¬â€ ÃÅ¸ÃÂ°ÃÂ²ÃÂµÃÂ» ÃÂ¯ÃÂºÃ‘Æ’ÃÂ±ÃÂ¾ÃÂ²Ã‘ÂÃÂºÃÂ¸ÃÂ¹, ÃËœÃÂ»Ã‘Å’Ã‘Â Ãâ€ÃÂ¾ÃÂ±Ã‘â‚¬Ã‘â€¹ÃÂ½ÃÂ¸ÃÂ½",0,05/12/2019,1729,636
Kaggle Submission English,0,20/04/2021,547,134
Kaggle TReNDS Neuroimaging: predict multiple assessments and age from brain MRI - Nikita CHURKIN,0,22/07/2020,1026,406
kaggle ÙˆØ¨ÛŒÙ†Ø§Ø± Ø¨Ø±Ø±Ø³ÛŒ ØµÙØ± ØªØ§ ØµØ¯ Ø³Ø§ÛŒØª,0,21/08/2021,49,11
Kaggle Walkthrough to get you started with Data Science - Webinar,0,17/04/2020,269,502
"Kaggle Webinar | Yashvi Patel | Hour of Code |ACM Student Chapter IIT(ISM),Dhanbad",0,10/01/2021,602,234
Kaggle: Machine Learning and Data Science Community | How to Learn Data Science Smartly,0,24/08/2020,2198,373
Kaggle's 30 Days Of ML (Competition Part-4): Hyperparameter tuning using Optuna,0,23/08/2021,3629,9
Keras Conv2D Layers| Kernel size | strides | filter | Artificial Intelligence | Machine Learning,0,29/08/2021,20,3
Keras with TensorFlow Course - Python Deep Learning and Neural Networks for Beginners Tutorial,0,18/06/2020,405987,440
"KhaÃŒÂc nhau giuÃŒâ€ºÃŒÆ’a triÃŒÂ tueÃŒÂ£ÃŒâ€š nhaÃŒâ€šn taÃŒÂ£o (AI), Machine Learning vÃƒÂ  Deep Learning |Tri thÃ¡Â»Â©c nhÃƒÂ¢n loÃ¡ÂºÂ¡i",0,01/04/2020,67251,518
Kickstart Kaggle by Hrithik Purwar | ISTE-VIT Webinar,0,26/08/2021,478,6
L-02 Datasets in  Kaggle -  Ù…Ù„ÙØ§Øª Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª ÙÙŠ  ÙƒØ§Ø¬Ù„,0,09/09/2019,5415,723
L-04 Competitions in Kaggle -  Ø§Ù„Ù…Ø³Ø§Ø¨Ù‚Ø§Øª ÙÙŠ ÙƒØ§Ø¬Ù„,0,11/09/2019,2885,721
LANL Earthquake Prediction | Hideki Murata (currypurin) | Kaggle Days,0,30/01/2020,5012,580
"Learn data analyst skills in 3 months, step by step | Complete data analyst roadmap",0,25/11/2020,327813,280
Learn Data Science full Tutorial 2021-08-29 16:49,0,29/08/2021,6,3
Learn Data Science Online!,0,21/10/2020,457127,315
Learn TensorFlow and Deep Learning fundamentals with Python (code-first introduction) Part 1/2,0,16/03/2021,174119,169
Learning Path In Data Science By Board Infinity Prep,0,29/08/2021,0,3
Lec-15_Implementing Histograms and Bar Charts |Data Science | IT Engineering,0,28/08/2021,0,4
Lec-39_Introduction to Analytics |Data Science | IT Engineering,0,28/08/2021,4,4
Lec-51_Mini Project Part 2 |Data Science | IT Engineering,0,28/08/2021,3,4
Lecture 1 - Welcome | Stanford CS229: Machine Learning (Autumn 2018),0,17/04/2020,779720,502
Lecture 2 - Linear Regression and Gradient Descent | Stanford CS229: Machine Learning (Autumn 2018),0,17/04/2020,328421,502
Lesson 6 Machine Learning Projects Nano RP2040 Connect,0,29/08/2021,5,3
Live # Numpy Tutorial for Machine Learning & Data Science,0,27/08/2021,312,5
Live- Implementation of End To End Kaggle Machine Learning Project With Deployment,0,30/06/2020,254697,428
Loan Eligibility Prediction Tutorial | Python Projects For Data Science | Python Training | Edureka,0,02/02/2021,11844,211
Logistic Regression | Machine Learning | Python,0,28/08/2021,27,4
Machine Learning & Recommendation Engines in VOD,0,29/08/2021,10,3
Machine Learning | Semi-Supervised SVM (S3VM/TSVM),0,28/08/2021,120,4
Machine Learning And Deep Learning Masters Certification live batch Launch,0,26/08/2021,1700,6
Machine Learning Course | Learn Machine Learning | Machine Learning Tutorial | Intellipaat,0,17/04/2020,426805,502
Machine Learning Course | Machine Learning With Python | Intellipaat,0,28/08/2021,7560,4
Machine Learning dataset : Kaggle - UCI ML by MyStudy,0,01/10/2020,346,335
Machine Learning ðŸ¤– con Kaggle y LoRa 2.0 ðŸ˜²,0,08/03/2021,616,177
Machine Learning Engineer Career Path | Perfect blend of Data Science and Software Engineering?,0,07/11/2020,14818,298
Machine Learning Experiences in Azure Synapse,0,27/01/2021,2686,217
Machine Learning Explicado,0,25/02/2021,181302,188
Machine Learning for Beginners : Session 7 - Dealing with Missing & Duplicate Values,0,29/08/2021,12,3
Machine Learning Full Course - Learn Machine Learning 10 Hours | Machine Learning Tutorial | Edureka,0,22/09/2019,1565091,710
Machine Learning in English - Part 2 | #2 Linear Regression,0,29/08/2021,2,3
Machine Learning Lecture 4.2 : Building a Decision Tree based on Information Gain/Entropy measure,0,28/08/2021,17,4
Machine Learning para CompetiÃ§Ãµes Kaggle - ClassificaÃ§Ã£o,0,05/11/2019,660,666
Machine Learning Project in Python From Scratch,0,28/08/2021,576,4
Machine Learning Projects | Machine Learning Applications | Machine Learning Training | Simplilearn,0,22/08/2020,4075,375
Machine Learning Salary in India  | upGrad,0,29/01/2021,6139,215
Machine Learning Steps | What Is Machine Learning | Machine Learning Training | Edureka,0,27/04/2021,10084,127
Machine learning with Apache Spark | Machine Learning Essentials,0,26/01/2021,2634,218
Machine Learning with Python | Machine Learning Tutorial for Beginners | Machine Learning Tutorial,0,13/02/2020,890109,566
"Machine Learning, Modeling, and Simulation: Engineering Problem-Solving in the Age of AI",0,27/07/2020,716795,401
Machine Learning: A Whale Tale - The Big Idea,0,15/02/2021,1476802,198
Machine Learning-A Probabilistic Perspective Webinar @ MAM College of Engineering,0,28/08/2021,143,4
Machine Learningà®Žà®©à¯à®±à®¾à®²à¯ à®Žà®©à¯à®©?| What Is Machine Learning in Tamil ?| Introduction to Machine Learning,0,21/05/2020,18822,468
Masters in data science or computer science with ML subjects? Which one is better?,0,17/03/2021,26753,168
"Mean, Variance & Standard deviation - Linear Algebra for Data Science - Tips & Tricks",0,27/08/2021,4,5
Minimum skills required for Data Analytics Jobs,0,28/08/2021,14,4
MIT 6.S191 (2020): Introduction to Deep Learning,0,08/02/2020,1060297,571
MIT Introduction to Deep Learning | 6.S191,0,05/02/2021,329135,208
ML Project in Hindi | Kaggle Competition: House Price Prediction-Advance Regression Technique,0,31/01/2020,24218,579
Model Development Production | Case Study - Part 2 | Machine Learning Tutorial,0,29/08/2021,75,3
MSc Maths with Data Science for Industry at the University of Bath,0,12/01/2021,423,232
MSc Responsible Data Science,0,04/11/2020,783,301
Multi Linear Regression Tutorial | Machine Learning & Data Science with Python,0,28/08/2021,5,4
Multilinear regression with example | Machine Learning & Data Science with Python,0,29/08/2021,1,3
Natural Language Processing |  Data Analytics Master Class Day-30,0,24/08/2021,3266,8
NFL 1st and Future - Impact Detection Kaggle Competition Review,0,24/01/2021,299,220
NLP - The Journey to Win | Kaggle Days Meetup Dallas,0,21/07/2020,158,407
"NO FUTURE FOR DATA SCIENCE?| how to become data scientist, needed skills, Python, insights",0,27/08/2021,54,5
Non-Tech to Tech Career Transition with Job Promotion | Data Science Course - Intellipaat Reviews,0,26/08/2021,810,6
NPTEL Â» Introduction to Machine Learning â€“ IITM Week 4: Assignment 4,0,27/08/2021,32,5
NPTEL: Introduction to Machine Learning Assignment 3 Answers | Week 3 Answers |Machine Learning IITM,0,24/08/2021,1289,8
"O que Ã© InteligÃªncia Artificial, Machine Learming, Redes Neurais e Deep Learning",0,29/08/2021,14,3
O que Ã© MACHINE LEARNING? IntroduÃ§Ã£o ao APRENDIZADO DE MÃQUINA | Machine Learning #1,0,17/11/2019,12184,654
O que ÃƒÂ© Deep Learning? #HipstersPontoTube,0,08/01/2020,17397,602
Ø§Ø²Ø§ÙŠ ØªØ¨Ù‚Ù‰ Data Scientist  |   Ø¯ÙŠÙ†Ø§ Ø¬Ø±Ø¬Ø³,0,28/09/2020,36014,338
Ø§Ù„Ø®Ø±ÙŠØ·Ù‡ Ø§Ù„ÙƒØ§Ù…Ù„Ù‡ Ù„ØªØ¹Ù„Ù… Data Science,0,28/08/2021,42,4
Ø§Ù„ÙØ±Ù‚ Ø¨ÙŠÙ† Data science vs Artificial Intelligence vs Machine Learning vs Deep Learning,0,05/11/2020,13346,300
Ø®Ø·Ø© Ø§Ø­ØªØ±Ø§ÙÙŠØ© Ù„Ø¯Ø±Ø§Ø³Ø© Ø¹Ù„Ù… ÙˆØªØ­Ù„ÙŠÙ„ Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª ÙÙŠ (6 Ø´Ù‡ÙˆØ± ÙÙ‚Ø·) + Ø§Ù„Ù…ØµØ§Ø¯Ø± | Data Science Studying Plan,0,27/08/2020,49341,370
Ø¹Ù„Ù… Ø§Ù„Ø¨ÙŠØ§Ù†Ø§Øª - data science,0,26/02/2021,82326,187
Ø³Ù„Ø³Ù„Ø© Ù…ÙØ§Ù‡ÙŠÙ… #1 - What is Machine learning  Ù…Ø§ Ù‡Ùˆ ØªØ¹Ù„ÙŠÙ… Ø§Ù„Ø¢Ù„Ù‡ Ø´Ø±Ø­  -,0,27/07/2020,21400,401
Oil & Gas Data Science Essential Skills: Sensor Data Transformation,0,27/08/2021,25,5
"Overview, Review and Study Tips - Google Data Analytics Professional Certificate",0,18/03/2021,15842,167
Pandas Dataframe | Python for Machine Learning in Finance | Free Quantra Course,0,27/08/2021,90,5
Pandas Tutorial #15 - Pivottables erstellen (Python fÃ¼r Data Science),0,26/08/2021,785,6
Part 2 - Loan Default Classification Project | Kaggle | Analysis  | Encoding | Outliers | Modelling,0,12/04/2021,260,142
Part 5: compressive machine learning by sketching,0,29/08/2021,3,3
PARTICIPAMOS en nuestra primera competiciÃ³n de KAGGLE,0,26/08/2021,14,6
PASHA Workshop: Day 01 - Data Science using KNIME (English),0,28/08/2021,34,4
PDI Fuel Pricing Machine Learning Strategy,0,27/08/2021,2,5
People of Data Science #1 - Kaggle Grandmaster ThÃ©o Viel,0,11/04/2021,556,143
PG Program In Data Science â€“ UPES By Edvancer Prep,0,29/08/2021,0,3
PhÃ¢n tÃ­ch Ä‘iá»ƒm thi Ä‘áº¡i há»c 2020 báº±ng Data Science | Láº­p TrÃ¬nh Python CÆ¡ Báº£n Tá»± Há»c Cho NgÆ°á»i Má»›i,0,24/10/2020,286883,312
"PHD in machine learning or data science, is it worth?",0,08/04/2021,8673,146
Phenom Machine Learning Internship Apply Now,0,28/08/2021,14,4
Practical Model Evaluation: Training models with automated machine learning | Kaggle,0,04/12/2019,5095,637
Practical Stats for Data Scientists: Ch7: Unsupervised Learning (2021-08-16) (ps4ds01),0,29/08/2021,9,3
Predicting COVID-19 With Machine Learning | Machine Learning Training | Great Learning,0,26/05/2020,23344,463
Predicting the Auto MPG using Python (Kaggle dataset) Part 1,0,26/02/2021,282,187
Primary Stage of Diabetes Prediction using Machine Learning Approaches | Python Project 2021 - 2022,0,27/08/2021,44,5
Probabilistic Machine Learning -- Mohammed Hammad,0,27/08/2021,9923,5
Probably the best introduction to machine learning! 100 page machine learning book!,0,04/12/2020,29171,271
Programming vs Coding - What's the difference?,0,25/02/2021,556764,188
Project Showcase: Machine Learning with RP2040,0,31/03/2021,21428,154
"Python for Data Science - Course for Beginners (Learn Python, Pandas, NumPy, Matplotlib)",0,02/06/2020,1099684,456
Python for Machine Learning | Python Training | Edureka | Python Live - 4,0,27/08/2021,3580,5
Python Machine Learning - Class 1 | Introduction To Machine Learning With Python | Edureka,0,14/08/2020,13317,383
Python Machine Learning & AI Mega Course - Learn 4 Different Areas of ML & AI,0,23/11/2019,313736,648
Python Machine Learning Tutorial (Data Science),0,17/09/2020,643701,349
Python Tutorial: Winning a Kaggle Competition in Python,0,01/03/2020,657,549
PyTorch for Deep Learning - Full Course / Tutorial,0,30/04/2020,418644,489
Pytorch Tutorial 4- Solving Kaggle Pima Diabetes Prediction Using ANN With PyTorch Library,0,19/07/2020,9620,409
Quantum Machine Learning for Complex Chemical Systems | Qiskit Seminar Series with Sabre Kais,0,27/08/2021,1786,5
Quelles diffÃƒÂ©rences entre Machine Learning et Deep Learning ?,0,04/04/2020,4571,515
Quick Fast Python EDA with Pandas Profiling - Kaggle Dataset Hands-on,0,23/02/2021,341,190
R for Data Science Book Club: Chapter 7: Exploratory data analysis (2021-08-28) (r4ds05),0,29/08/2021,4,3
R for Data Science Book Club: Models section part 2 (2021-08-24) (r4ds03),0,29/08/2021,4,3
Random Forest Model in R using Titanic from Kaggle,0,19/06/2020,90,439
Real Data Science SQL Interview Questions and Answers # 1 | Data Science Interview Questions,0,03/09/2020,136949,363
Recruitment & Sourcing (Machine learning and Data Science) talent on Kaggle,0,21/04/2021,201,133
Re-introducing: Data Science 360,0,27/08/2021,74,5
Reshape data science project answer | reshape data science program answer | SoloLearn free courses,0,28/08/2021,11,4
Resolva desafios do Kaggle: Dicas de Carreira em InteligÃƒÂªncia Artificial #5,0,04/07/2019,1378,790
"Rohan Rao | Numbers, Data Science & Kaggle | ASHRAE - Great Energy Predictor 2nd Pos Sol",0,30/01/2020,2240,580
Security Surveillance with Object Detection|+91-7973788405 for query| Deep Learning with TensorFlow|,0,28/08/2021,1,4
Sentiment Analysis: extracting emotion through machine learning | Andy Kim | TEDxDeerfield,0,10/09/2020,9453,356
Series Editorial The Second Issue of the Series on Machine Learning in Communications and Networks,0,28/08/2021,0,4
SIIM-ISIC Melanoma Classification Challenge on Kaggle 3rd Place Winner,0,08/09/2020,249,358
SIPI Database of PCB Based Interconnects for Machine Learning Applications,0,28/08/2021,0,4
Skillup 2021  lIve | Decoding Data Science Campus Placement in Covid times,0,22/04/2021,313,132
Sparse Identification of Nonlinear Dynamics (SINDy): Sparse Machine Learning Models 5 Years Later!,0,27/08/2021,7699,5
SQL for Data Science Tutorial | Data Analysis with SQL | Edureka | Data Science Live - 1,0,05/04/2021,10062,149
SQL for Data Science Tutorial | Data Science Training | Edureka | Data Science Rewind - 3,0,23/02/2021,8320,190
SQL Summer Camp: Analytic Functions | Kaggle,0,28/08/2019,10958,735
SQL Summer Camp: As and With | Kaggle,0,17/07/2019,2964,777
SQL Summer Camp: Getting started with SQL | Kaggle,0,25/06/2019,31053,799
SQL Summer Camp: Joining Data | Kaggle,0,18/07/2019,3122,776
"SQL Summer Camp: Order By, Extract and Dates | Kaggle",0,16/07/2019,3618,778
"SQL Summer Camp: Select, From and Where| Kaggle",0,26/06/2019,8162,798
SQL Summer Camp: Writing Efficient Queries | Kaggle,0,30/08/2019,3870,733
Stanford CS229: Machine Learning | Summer 2019 | Lecture 1 - Introduction and Linear Algebra,0,13/04/2021,26339,141
Statistics and Probability Full Course || Statistics For Data Science,0,18/09/2020,413228,348
Statistics for Data Science | Probability and Statistics | Statistics Tutorial | Ph.D. (Stanford),0,19/12/2019,918562,622
Step By Step Process In EDA And Feature Engineering In Data Science Projects,0,29/08/2021,5093,3
Strategic Use of IT in Pharmaceutical using Artificial Intelligence and Machine Learning Part III,0,28/08/2021,10,4
Success Story of Gokul:From Testing(5+ Yrs of exp) to Machine Learning Engineer in Testing @ ZeOmega,0,10/02/2021,718325,203
Successful Career Transition From Fresher To Data Science With 4 years Gap- ft Saket & iNeuron,0,02/02/2021,11029,211
Successful Career Transition to Data Science | Why Career in Data Science | Domain Specialization,0,27/08/2021,40,5
Super-Human Performance in Gran Turismo Sport Using Deep Reinforcement Learning,0,19/08/2020,92809,378
Symmetric Cryptography With a Chaotic Map and a Multilayer Machine Learning Network for Physiologica,0,28/08/2021,1,4
"Text Classification Using BERT & Tensorflow | Deep Learning Tutorial 47 (Tensorflow, Keras & Python)",0,28/08/2021,2788,4
TF 2.x on Kaggle (TF Dev Summit '20),0,16/03/2020,4405,534
TF Watcher : Receive Deep Learning model training updates on your mobile or remote desktop,0,28/08/2021,351,4
The Artists of Data Science Happy Hour #47,0,28/08/2021,22,4
The Data Science Job Market in 2021,0,01/03/2021,3881,184
The data science resume that got me my FAANG job (entry level data scientist),0,23/10/2020,159747,313
The Global Landscape of Data Science | Board Infinity,0,29/08/2021,51,3
The importance of data science literacy at CDC,0,26/08/2021,5,6
the kaggle experience (but i suck),0,25/08/2021,15,7
The math you actually need to know for data science.,0,25/04/2021,5273,129
The Munich Data Science Institute of TUM,0,26/01/2021,3884,218
The Plant Pathology Challenge 2020 Kaggle Competition to Classify Foliar Diseases of Apples,0,22/01/2021,95,222
Theory of deep learning | IBM Research | Princeton University | MLSS 2021,0,28/08/2021,3,4
Tips on Masters in Data Science,0,28/08/2021,1,4
Titanic solution with basic h2o | [Kaggle] #22,0,17/11/2020,82,288
Top 10 Certifications For 2021 | Highest Paying Certifications | Best IT Certifications |Simplilearn,0,03/12/2020,656494,272
Top 10 Data Analytics Tools 2020 | Best Tools for Data Analysis | Data Analytics Training | Edureka,0,09/06/2020,25509,449
Top 5 Reasons Not to Become a Data Analyst,0,12/08/2020,363124,385
TPU Notebook Walkthrough: Introduction to TFRecords | Kaggle,0,29/09/2020,10829,337
Track 3 | Python Data Engineering | Extract & Transform data through Kaggle API,0,21/01/2020,703,589
Transaction Fraud Detection using Machine Learning Ã¢ÂÅ’Full Kaggle Project,0,22/01/2020,5394,588
Tredence Analytics Interview Experience | Analytics | Data Science | Data Engineer | Interview Tips,0,28/08/2021,256,4
TWIML Kaggle Meetup Summer 2020 - 04/24/2021,0,26/04/2021,1,128
TWIML Kaggle Meetup Summer 2020 - 07/04/2020,0,14/12/2020,5,261
TWIML Kaggle Meetup Summer 2020 - 07/11/2020,0,14/12/2020,4,261
TWIML Kaggle Meetup Summer 2020 - 11/14/2020,0,14/12/2020,0,261
TWIML Kaggle NLP Meetup - 09/21/2020,0,22/12/2020,2,253
TWIML Kaggle NLP Meetup - 10/12/2020,0,22/12/2020,1,253
TWIML Kaggle NLP Meetup - 10/19/2020,0,22/12/2020,1,253
Ù…Ø¹ÙŠØ¯ Ø§Ù„Ø³Ù„Ø§Ø¨ | Ø¯Ù„ÙŠÙ„Ùƒ Ù„ØªØµØ¨Ø­ Ø¹Ø§Ù„Ù… Ø¨ÙŠØ§Ù†Ø§Øª  | data science,0,28/08/2021,179,4
UNDER THE RADAR $0.004 Penny Stock REVEALED AI & Deep Learning PLANS! (Quick) Ã°Å¸Å¡â‚¬Ã°Å¸â€Â¥Ã°Å¸Å¡â‚¬,0,24/08/2021,13004,8
Understanding .gitignore (BGC08 by Myanmar Data Science),0,27/08/2021,59,5
Understanding Kaggle Top Solutions: Google Landmark Recognition 2020,0,27/08/2021,632,5
Using Data Science To Support Real Estate Investment with Ben Breslau,0,27/10/2020,410,309
Using Machine Learning for Water Filtering Membranes Maintenance,0,13/07/2020,7336,415
Vanderbilt University Data Science Institute,0,18/02/2021,497,195
Webinar | Machine Learning em FinanÃƒÂ§as,0,30/11/2020,1639,275
Webinar Series: Hack Kaggle with Google Colab | Zeyu Zhang | Info Session,0,06/09/2019,413,726
Webinar Supervised Learning Data Science With Python,0,28/08/2021,72,4
What is Data Science and Data Analytics | Data Science Jobs | Data Analytics Jobs,0,14/02/2021,140205,199
What is Data Science?,0,07/06/2021,330588,86
What is Machine Learning in Hindi | Introduction to Machine Learning | How Machine Learning works,0,09/05/2020,32326,480
When Professional Data Scientist Work,0,28/08/2021,20,4
Why Bristol for Data Science?,0,16/12/2020,736,259
Why Machine Learning Fairness Is Hard To Define | #Shorts,0,27/08/2021,1551,5
Why You Should NOT Learn Machine Learning!,0,01/10/2020,272109,335
Why you should use Django for data science,0,17/11/2020,11029,288
WiDS : Question-Answering in NLP Applications: CORD-19 Kaggle Competition Overview,0,09/03/2021,454,176
Winner's interview: Dark of the Moon - 1st in Tweet Sentiment Extraction Competition | Kaggle,0,13/10/2020,7206,323
Winner's interview: Muggles United - 3rd in Tweet Sentiment Extraction Competition | Kaggle,0,13/10/2020,1243,323
Working From Home as a Data Scientist in NYC Ã°Å¸â€˜Â©Ã°Å¸ÂÂ»Ã¢â‚¬ÂÃ°Å¸â€™Â» | day in my life in *quarantine*,0,11/05/2020,32382,478
[Eng sub GANGWON - 8] Sound Recognition Machine Learning,1,29/08/2021,1,3
A Day in the Life of a London Data Scientist (working remotely during coronavirus),1,02/06/2020,308618,456
"Acing the Product Data Science Interview (for Facebook, Google, and Amazon Interviews)",1,07/07/2020,10690,421
As aplicaÃ§Ãµes de machine learning mais requisitadas para o RH | Pitchafi | MLN 014,1,28/08/2021,8,4
BEST MACHINE LEARNING PROJECT IDEAS,1,21/04/2021,8445,133
BigMart Sales Prediction using Machine Learning End to End Project !! 1st Part - Train and Test,1,27/08/2021,937,5
Brain Tumour Detection Using Deep Learning | Python IEEE Final Year Project 2021 - 2022,1,28/08/2021,29,4
Cracking A/B Testing Problems in Data Science Interviews | Product Sense | Case Interview,1,13/01/2021,40544,231
Credit Card Fraud Detection | Project In Machine Learning | Intellipaat,1,06/12/2019,55589,635
CS224W: Machine Learning with Graphs | 2021 | Lecture 1.1 - Why Graphs,1,13/04/2021,106748,141
CS224W: Machine Learning with Graphs | 2021 | Lecture 1.2 - Applications of Graph ML,1,13/04/2021,37416,141
DATA SCIENCE |Customer Segmentation| Exposys Data Labs,1,27/08/2021,19,5
Data Science Job Market in the USA vs Brazil,1,07/08/2020,412,390
Deep Learning Macroeconomics: 1.1 Intro (Part 1),1,24/08/2021,1414,8
Deep Learning Project ideas #shorts [2021],1,29/08/2021,61,3
Democratization of Data and Data Science in Financial Services,1,24/08/2021,244,8
Design Tips for Machine Learning algorithms generation (part 1),1,26/08/2021,379,6
Dia a dia de um cientista de dados - Aula 5 - Data Science & InteligÃªncia Artificial,1,28/08/2021,12,4
Fantasy Football Drafting Using Machine Learning Projections,1,28/08/2021,18,4
Five Data Science Project Ideas,1,02/07/2020,12356,426
Football Video Analysis Using Deep Learning,1,25/04/2020,25824,494
"Get Free Papers with Code of Machine Learning, AI, Data Science Deep Learning and Evaluation Tables",1,29/08/2021,419,3
How to Find Data Science Career Opportunities Worldwide from Latin America?,1,27/08/2021,3,5
How To Pick Your Next Data Science Project! (Using Kaggle),1,28/01/2021,483,216
How to Select the Correct Predictive Modeling Technique | Machine Learning Training | Edureka,1,01/06/2020,21388,457
Increasing Customer Retention at Wise with Machine Learning | Snowflake Summit 2021,1,25/08/2021,137,7
Interpretable Machine Learning Model | eli5 | Kaggle | Heart Analysis,1,20/04/2021,109,134
Intro to Graph Data Science,1,24/08/2020,3971,373
Intro to Machine Learning Bonus Lesson: AutoML | Kaggle,1,10/12/2020,4827,265
Introduction to Machine Learning with Time Series || Markus Loning,1,26/09/2020,65711,340
Kaggle 30 Days of ML (Day 17) - Partial Dependence Plot - Interpretable Machine Learning - XAI,1,22/08/2021,115,10
Kaggle Competition- Predict Stock Price Movement Based On News Headline using NLP,1,13/09/2019,38710,719
Kaggle Discussion and classifying disaster Tweets on Kaggle with Shyambhu,1,03/02/2021,235,210
Kaggle LiveCoding: Credit Card Fraud Detection,1,07/04/2021,37,147
Kaggle meetup: Rainforest Connection species audio detection,1,25/04/2021,167,129
Kaggle Mini Courses - Data Cleaning,1,18/11/2020,429,287
Kaggle Mini Courses - Geospatial Analysis,1,20/11/2020,130,285
Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),1,16/01/2021,5918,228
"LIVE com MARIO FILHO: DATA SCIENCE, competiÃ§Ãµes no Kaggle e carreira como freelancer",1,24/04/2021,318,130
MacBook Air M1 30 Daya in Report for Machine Learning,1,25/08/2021,3434,7
MIT Applied Data Science Program,1,01/04/2021,661,153
Model Explainability & Responsible AI with Azure Machine Learning,1,27/08/2021,7,5
My Salary As A Data Scientist From Starting Of My Career,1,10/08/2021,73866,22
Popular Applications of Data Science | Real Life Applications of Data Science | Great Learning,1,27/02/2021,5612,186
Predicting energy consumption for UAV-enabled MEC using Machine Learning Algorithm,1,29/08/2021,0,3
Product+Data Science - Expert Talks - Illuminate AI,1,26/08/2021,103,6
Productionizing Machine Learning with a Microservices Architecture,1,07/07/2020,3587,421
Pytorch Tutorial 5-Live- Kaggle Advance House Price Prediction Using Pytorch Deep Learning,1,30/07/2020,10385,398
Reinforcement Learning in the Real World (with Professor Matthew Taylor),1,26/08/2021,212,6
Research Reproducibility in Data Science,1,07/12/2020,695,268
Role of data science in building robust sports solution | @MyStartup TV,1,27/08/2021,21,5
Santander Customer Transaction Prediction | Managerial presentation | Kaggle Competition | Analytics,1,22/04/2021,62,132
Solving Kaggle Credit Card Fraud Detection Using Pycaret Library- Data Science,1,17/04/2020,13836,502
Stock Market Prediction Using Machine Learning | Machine Learning Tutorial | Simplilearn,1,25/06/2020,25958,433
Stock Prediction using Machine Learning and Python | Machine Learning Training | Edureka,1,24/04/2020,135684,495
Stock Price Prediction And Forecasting Using Stacked LSTM- Deep Learning,1,25/05/2020,148836,464
Stock Price Prediction Using Python & Machine Learning,1,21/12/2019,746742,620
Time Series Analysis & Sales Forecast Machine Learning (XGBoost),1,27/08/2021,52,5
Time Series Forecasting with Machine Learning,1,19/01/2021,18387,225
"What's On My Laptop? | 13"" M1 Macbook Pro for Machine Learning",1,23/08/2021,3047,9
"Why Choose Deep Learning? | Deep Learning for Engineers, Part 1",1,13/04/2021,35981,141
Work Week in My Life as a Data Scientist,1,12/03/2021,412614,173
#047 Interpretable Machine Learning - Christoph Molnar,1,14/03/2021,6431,171
* Machine Learning Projects * in Python | Deep Learning | Opencv | Final Year Projects,0,26/05/2020,61927,463
[ìºê¸€  X ë°ì´íƒ€ë¶„ì„ìº í”„ 1] ì²«ë²ˆì§¸ Kaggle - 1. ìºê¸€ ë° ëŒ€íšŒ ì´í•´ | Tì•„ì¹´ë°ë¯¸,0,02/12/2020,3030,273
[Kaggle] Titanic Problem using Excel #10 - Create Train Test Validation split on Excel,0,18/08/2019,3607,745
[Kaggle] Titanic Problem using Excel #13 - Basic Decision Tree Model,0,05/09/2019,1482,727
